Entity,Code,Year,number_closedaut_row_owid,number_electaut_row_owid,number_electdem_row_owid,number_libdem_row_owid
Africa,,1900,36,1,0,0
Africa,,1901,36,1,0,0
Africa,,1902,37,1,0,0
Africa,,1903,39,1,0,0
Africa,,1904,41,1,0,0
Africa,,1905,41,1,0,0
Africa,,1906,41,1,0,0
Africa,,1907,41,1,0,0
Africa,,1908,41,1,0,0
Africa,,1909,41,1,0,0
Africa,,1910,41,2,0,0
Africa,,1911,43,2,0,0
Africa,,1912,42,2,0,0
Africa,,1913,42,2,0,0
Africa,,1914,43,2,0,0
Africa,,1915,43,2,0,0
Africa,,1916,46,2,0,0
Africa,,1917,46,2,0,0
Africa,,1918,46,2,0,0
Africa,,1919,47,2,0,0
Africa,,1920,49,2,0,0
Africa,,1921,49,2,0,0
Africa,,1922,51,2,0,0
Africa,,1923,50,3,0,0
Africa,,1924,50,3,0,0
Africa,,1925,50,3,0,0
Africa,,1926,50,3,0,0
Africa,,1927,50,3,0,0
Africa,,1928,50,3,0,0
Africa,,1929,50,3,0,0
Africa,,1930,50,3,0,0
Africa,,1931,50,3,0,0
Africa,,1932,49,3,0,0
Africa,,1933,49,3,0,0
Africa,,1934,49,3,0,0
Africa,,1935,49,3,0,0
Africa,,1936,49,3,0,0
Africa,,1937,49,3,0,0
Africa,,1938,49,3,0,0
Africa,,1939,49,3,0,0
Africa,,1940,49,3,0,0
Africa,,1941,49,3,0,0
Africa,,1942,48,3,0,0
Africa,,1943,48,3,0,0
Africa,,1944,48,3,0,0
Africa,,1945,47,4,0,0
Africa,,1946,48,4,0,0
Africa,,1947,49,4,0,0
Africa,,1948,49,4,0,0
Africa,,1949,49,4,0,0
Africa,,1950,49,4,0,0
Africa,,1951,50,4,0,0
Africa,,1952,50,4,0,0
Africa,,1953,51,3,0,0
Africa,,1954,50,4,0,0
Africa,,1955,50,4,0,0
Africa,,1956,49,5,0,0
Africa,,1957,45,9,0,0
Africa,,1958,43,11,0,0
Africa,,1959,44,10,0,0
Africa,,1960,34,19,0,0
Africa,,1961,30,24,0,0
Africa,,1962,28,26,0,0
Africa,,1963,27,27,0,0
Africa,,1964,28,26,0,0
Africa,,1965,30,24,0,0
Africa,,1966,34,20,0,0
Africa,,1967,36,17,1,0
Africa,,1968,33,18,2,0
Africa,,1969,36,16,2,0
Africa,,1970,35,17,2,0
Africa,,1971,36,16,2,0
Africa,,1972,36,14,2,0
Africa,,1973,37,13,2,0
Africa,,1974,37,14,2,0
Africa,,1975,36,14,2,0
Africa,,1976,35,15,2,0
Africa,,1977,36,15,2,0
Africa,,1978,38,13,2,0
Africa,,1979,34,18,2,0
Africa,,1980,31,19,3,0
Africa,,1981,32,19,2,0
Africa,,1982,33,18,2,0
Africa,,1983,33,17,2,0
Africa,,1984,33,18,2,0
Africa,,1985,34,18,1,1
Africa,,1986,33,19,1,1
Africa,,1987,34,18,1,1
Africa,,1988,34,17,2,1
Africa,,1989,32,19,2,1
Africa,,1990,30,19,3,1
Africa,,1991,30,18,5,1
Africa,,1992,28,20,6,1
Africa,,1993,24,21,9,1
Africa,,1994,21,23,9,1
Africa,,1995,19,23,11,1
Africa,,1996,17,23,11,2
Africa,,1997,15,27,11,2
Africa,,1998,14,28,11,2
Africa,,1999,15,27,10,3
Africa,,2000,14,28,10,3
Africa,,2001,14,29,9,3
Africa,,2002,11,29,11,3
Africa,,2003,11,27,11,4
Africa,,2004,10,29,11,4
Africa,,2005,9,31,11,4
Africa,,2006,7,32,12,4
Africa,,2007,6,33,12,4
Africa,,2008,8,30,13,4
Africa,,2009,8,32,11,4
Africa,,2010,7,31,12,4
Africa,,2011,8,30,13,4
