,Entity,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Code
0,Afghanistan,,0.018,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.026,0.033,0.037,0.037,0.036,0.112,0.109,0.109,0.109,0.109,0.103,0.101,0.115,0.084,0.084,0.086,0.086,0.086,0.087,0.087,0.087,0.086,0.086,0.086,0.083,0.083,0.083,0.088,0.089,0.089,0.093,0.099,0.099,0.087,0.084,0.078,0.08,0.081,0.081,0.079,0.079,0.08,0.083,0.082,0.085,0.137,0.15,0.161,0.163,0.163,0.162,0.16,0.16,0.156,0.152,0.103,0.104,0.104,0.101,0.086,0.081,0.082,0.083,0.082,0.083,0.083,0.083,0.083,0.083,0.09,0.093,0.093,0.094,0.094,0.092,0.092,0.092,0.074,0.072,0.072,0.072,0.072,0.082,0.223,0.23,0.24,0.335,0.397,0.397,0.403,0.392,0.374,0.378,0.381,0.378,0.377,0.376,0.353,0.354,0.354,0.353,0.356,0.158,0.082,0.082,0.026,0.0,0.0,0.0,0.0,0.0,0.0,AFG
1,Albania,,,,,,,,,,,,,,,0.097,0.081,0.093,0.093,0.098,0.134,0.143,0.212,0.223,0.206,0.145,0.166,0.171,0.172,0.171,0.138,0.139,0.139,0.149,0.172,0.172,0.172,0.172,0.121,0.106,0.071,0.048,0.049,0.049,0.051,0.048,0.044,0.07,0.162,0.161,0.165,0.172,0.175,0.175,0.175,0.174,0.173,0.173,0.173,0.175,0.176,0.176,0.176,0.175,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.173,0.173,0.173,0.173,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.173,0.173,0.173,0.187,0.369,0.418,0.416,0.412,0.426,0.381,0.369,0.386,0.389,0.401,0.433,0.477,0.482,0.474,0.505,0.536,0.54,0.538,0.534,0.535,0.535,0.53,0.508,0.509,0.509,0.51,0.52,0.498,0.486,0.493,0.489,0.484,0.475,0.469,0.464,0.458,0.452,0.446,0.441,0.435,ALB
2,Algeria,0.044,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.043,0.043,0.043,0.043,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.049,0.074,0.074,0.09,0.096,0.096,0.096,0.104,0.077,0.078,0.089,0.083,0.076,0.076,0.076,0.075,0.075,0.077,0.191,0.186,0.131,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.087,0.188,0.193,0.195,0.195,0.195,0.203,0.205,0.207,0.207,0.207,0.206,0.206,0.223,0.351,0.351,0.192,0.173,0.179,0.186,0.331,0.32,0.314,0.327,0.326,0.326,0.329,0.335,0.336,0.337,0.337,0.333,0.33,0.328,0.325,0.328,0.327,0.327,0.326,0.326,0.308,0.308,0.306,0.287,0.279,0.281,0.281,0.269,0.262,0.256,0.25,0.244,0.237,0.231,0.225,DZA
3,Angola,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.022,0.022,0.073,0.074,0.073,0.073,0.073,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.076,0.083,0.15,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.16,0.163,0.173,0.175,0.176,0.176,0.176,0.189,0.222,0.222,0.311,0.307,0.309,0.309,0.309,0.309,0.323,0.366,0.365,0.349,0.342,0.344,0.35,0.35,0.351,0.351,0.352,0.352,0.353,0.353,AGO
4,Argentina,0.351,0.351,0.351,0.351,0.343,0.34,0.34,0.34,0.34,0.34,0.365,0.372,0.432,0.441,0.438,0.437,0.457,0.481,0.49,0.485,0.492,0.491,0.501,0.504,0.504,0.504,0.503,0.503,0.502,0.502,0.308,0.111,0.239,0.283,0.276,0.278,0.279,0.283,0.283,0.284,0.295,0.297,0.297,0.177,0.1,0.09,0.287,0.352,0.404,0.398,0.38,0.365,0.36,0.358,0.355,0.31,0.142,0.179,0.373,0.473,0.485,0.486,0.271,0.303,0.512,0.517,0.225,0.103,0.105,0.105,0.105,0.113,0.124,0.336,0.571,0.537,0.135,0.071,0.071,0.071,0.071,0.071,0.074,0.195,0.836,0.835,0.829,0.839,0.84,0.834,0.828,0.831,0.836,0.835,0.839,0.835,0.829,0.829,0.833,0.832,0.84,0.84,0.832,0.813,0.808,0.806,0.796,0.795,0.79,0.777,0.776,0.778,0.78,0.788,0.792,0.777,0.752,0.746,0.767,0.771,0.822,0.811,0.823,0.847,0.863,0.879,0.895,0.912,0.928,0.944,0.96,ARG
5,Armenia,,,,,,,,,,,,,,,,,,,0.127,0.116,0.116,0.113,0.112,0.115,0.115,0.113,0.113,0.112,0.112,0.112,0.112,0.114,0.114,0.114,0.114,0.114,0.114,0.119,0.097,0.097,0.097,0.095,0.095,0.095,0.095,0.095,0.099,0.099,0.099,0.099,0.102,0.102,0.102,0.103,0.105,0.105,0.106,0.106,0.108,0.109,0.109,0.109,0.096,0.093,0.093,0.093,0.092,0.092,0.092,0.092,0.102,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.109,0.109,0.109,0.107,0.11,0.119,0.145,0.146,0.177,0.567,0.613,0.614,0.607,0.589,0.493,0.421,0.394,0.405,0.42,0.418,0.421,0.413,0.356,0.346,0.346,0.344,0.354,0.32,0.323,0.336,0.339,0.356,0.355,0.349,0.35,0.357,0.387,0.536,0.799,0.786,0.726,0.645,0.831,0.884,0.937,0.99,,,,,ARM
6,Australia,0.635,0.653,0.764,0.768,0.776,0.776,0.776,0.776,0.776,0.776,0.769,0.769,0.771,0.771,0.75,0.743,0.731,0.714,0.736,0.763,0.794,0.794,0.794,0.795,0.795,0.795,0.798,0.798,0.797,0.795,0.799,0.799,0.799,0.799,0.799,0.798,0.798,0.798,0.796,0.757,0.735,0.735,0.766,0.767,0.77,0.77,0.812,0.815,0.815,0.815,0.802,0.794,0.799,0.812,0.819,0.821,0.83,0.83,0.83,0.83,0.829,0.829,0.829,0.837,0.835,0.835,0.836,0.845,0.845,0.844,0.858,0.858,0.862,0.869,0.868,0.867,0.862,0.863,0.866,0.866,0.871,0.87,0.87,0.876,0.884,0.884,0.884,0.883,0.881,0.881,0.89,0.89,0.89,0.888,0.888,0.888,0.888,0.881,0.881,0.88,0.888,0.884,0.875,0.875,0.875,0.875,0.875,0.876,0.885,0.885,0.895,0.897,0.897,0.877,0.868,0.879,0.883,0.885,0.874,0.836,0.854,0.849,0.858,0.84,0.835,0.829,0.824,0.818,0.813,0.807,0.802,AUS
7,Austria,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.272,0.27,0.27,0.27,0.27,0.27,0.27,0.251,0.251,0.251,0.251,0.307,0.303,0.356,0.698,0.698,0.697,0.693,0.694,0.694,0.699,0.7,0.7,0.69,0.667,0.667,0.201,0.1,0.095,0.095,0.095,0.093,,,,,,,0.715,0.759,0.76,0.76,0.765,0.766,0.765,0.765,0.77,0.771,0.771,0.825,0.818,0.818,0.82,0.833,0.833,0.832,0.827,0.827,0.827,0.828,0.835,0.835,0.835,0.835,0.836,0.841,0.845,0.85,0.85,0.851,0.851,0.851,0.855,0.855,0.854,0.854,0.855,0.856,0.856,0.857,0.857,0.854,0.86,0.861,0.86,0.861,0.861,0.86,0.857,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.858,0.859,0.859,0.863,0.873,0.872,0.871,0.867,0.866,0.869,0.869,0.868,0.868,0.841,0.847,0.837,0.848,0.836,0.827,0.794,0.801,0.792,0.783,0.774,0.766,0.757,0.748,0.739,AUT
8,Azerbaijan,0.048,0.048,0.048,0.048,0.049,0.067,0.109,0.108,0.106,0.107,0.107,0.107,0.106,0.106,0.106,0.105,0.105,0.098,0.127,0.116,0.116,0.113,0.112,0.115,0.115,0.113,0.113,0.112,0.112,0.112,0.112,0.114,0.114,0.114,0.114,0.114,0.114,0.119,0.097,0.097,0.097,0.095,0.095,0.095,0.095,0.095,0.099,0.099,0.099,0.099,0.102,0.102,0.102,0.103,0.105,0.105,0.106,0.106,0.108,0.109,0.109,0.109,0.096,0.093,0.093,0.093,0.092,0.092,0.092,0.092,0.102,0.109,0.109,0.109,0.108,0.108,0.108,0.108,0.108,0.109,0.109,0.109,0.109,0.109,0.107,0.11,0.119,0.145,0.146,0.177,0.173,0.183,0.365,0.309,0.252,0.251,0.241,0.243,0.244,0.242,0.248,0.245,0.241,0.236,0.219,0.218,0.213,0.211,0.209,0.212,0.211,0.208,0.206,0.2,0.194,0.191,0.198,0.2,0.192,0.193,0.194,0.196,0.188,0.189,0.188,0.186,0.185,0.184,0.182,0.181,0.18,AZE
9,Bahrain,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.017,0.017,0.017,0.017,0.017,0.017,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.023,0.023,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.028,0.077,0.151,0.126,0.106,0.051,0.051,0.051,0.051,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.049,0.066,0.113,0.17,0.214,0.214,0.226,0.228,0.228,0.228,0.228,0.223,0.172,0.164,0.163,0.161,0.137,0.131,0.121,0.117,0.117,0.119,0.121,0.122,0.121,0.122,0.122,0.123,0.124,0.124,0.125,0.125,BHR
