,Entity,Year,Authoritarian,Partially Authoritarian,Partial Democracy,Liberal Democracy
1404,World,1789,50,0,0,0
1405,World,1790,51,1,0,0
1406,World,1791,51,1,0,0
1407,World,1792,50,2,0,0
1408,World,1793,50,2,0,0
1409,World,1794,50,2,0,0
1410,World,1795,50,2,0,0
1411,World,1796,46,4,0,0
1412,World,1797,46,4,0,0
1413,World,1798,46,4,0,0
1414,World,1799,48,2,0,0
1415,World,1800,50,2,0,0
1416,World,1801,49,2,0,0
1417,World,1802,51,2,0,0
1418,World,1803,50,2,0,0
1419,World,1804,50,2,0,0
1420,World,1805,50,2,0,0
1421,World,1806,50,2,0,0
1422,World,1807,52,2,0,0
1423,World,1808,51,2,0,0
1424,World,1809,52,2,0,0
1425,World,1810,51,2,0,0
1426,World,1811,50,2,0,0
1427,World,1812,50,2,0,0
1428,World,1813,52,2,0,0
1429,World,1814,54,2,0,0
1430,World,1815,57,2,0,0
1431,World,1816,57,2,0,0
1432,World,1817,57,3,0,0
1433,World,1818,57,3,0,0
1434,World,1819,57,2,0,0
1435,World,1820,56,2,0,0
1436,World,1821,57,3,0,0
1437,World,1822,58,4,0,0
1438,World,1823,57,5,0,0
1439,World,1824,57,4,0,0
1440,World,1825,59,4,0,0
1441,World,1826,60,4,0,0
1442,World,1827,60,4,0,0
1443,World,1828,60,4,0,0
1444,World,1829,59,5,0,0
1445,World,1830,63,4,0,0
1446,World,1831,62,6,0,0
1447,World,1832,62,7,0,0
1448,World,1833,62,7,0,0
1449,World,1834,63,7,0,0
1450,World,1835,62,8,0,0
1451,World,1836,61,9,0,0
1452,World,1837,60,10,0,0
1453,World,1838,64,9,0,0
1454,World,1839,64,10,0,0
1455,World,1840,66,8,0,0
1456,World,1841,69,6,0,0
1457,World,1842,67,8,0,0
1458,World,1843,67,8,0,0
1459,World,1844,67,9,0,0
1460,World,1845,67,9,0,0
1461,World,1846,69,8,0,0
1462,World,1847,67,9,0,0
1463,World,1848,62,16,0,0
1464,World,1849,63,13,0,1
1465,World,1850,63,13,0,1
1466,World,1851,61,14,0,1
1467,World,1852,62,14,0,1
1468,World,1853,64,13,0,1
1469,World,1854,63,14,0,1
1470,World,1855,63,14,0,1
1471,World,1856,62,14,0,1
1472,World,1857,62,14,0,1
1473,World,1858,63,12,0,2
1474,World,1859,63,13,0,2
1475,World,1860,61,13,0,2
1476,World,1861,61,11,0,2
1477,World,1862,58,12,0,2
1478,World,1863,60,11,0,2
1479,World,1864,60,11,0,2
1480,World,1865,58,12,0,2
1481,World,1866,58,12,0,2
1482,World,1867,55,11,0,2
1483,World,1868,47,13,0,2
1484,World,1869,48,13,0,2
1485,World,1870,45,16,0,2
1486,World,1871,47,14,0,2
1487,World,1872,41,16,0,2
1488,World,1873,42,15,0,2
1489,World,1874,42,14,1,2
1490,World,1875,41,14,1,2
1491,World,1876,42,14,1,2
1492,World,1877,45,11,1,2
1493,World,1878,43,13,1,2
1494,World,1879,44,12,1,2
1495,World,1880,41,16,1,2
1496,World,1881,40,17,1,2
1497,World,1882,38,19,1,2
1498,World,1883,39,18,1,2
1499,World,1884,38,19,1,2
1500,World,1885,42,15,1,2
1501,World,1886,39,17,1,2
1502,World,1887,38,17,2,2
1503,World,1888,38,16,2,2
1504,World,1889,37,17,2,2
1505,World,1890,39,15,2,2
1506,World,1891,40,14,2,2
1507,World,1892,38,17,2,2
1508,World,1893,39,16,2,2
1509,World,1894,37,18,2,2
1510,World,1895,38,18,2,2
1511,World,1896,39,17,2,2
1512,World,1897,37,17,2,3
1513,World,1898,36,19,2,2
1514,World,1899,36,20,2,2
1515,World,1900,95,21,2,3
1516,World,1901,94,22,2,3
1517,World,1902,96,21,2,4
1518,World,1903,99,21,2,4
1519,World,1904,99,22,3,4
1520,World,1905,98,22,3,4
1521,World,1906,101,19,4,4
1522,World,1907,101,19,4,4
1523,World,1908,102,18,4,4
1524,World,1909,102,18,4,4
1525,World,1910,102,19,4,4
1526,World,1911,103,21,4,4
1527,World,1912,101,22,4,4
1528,World,1913,99,24,3,5
1529,World,1914,102,24,3,4
1530,World,1915,102,25,3,4
1531,World,1916,107,24,4,3
1532,World,1917,106,25,4,3
1533,World,1918,110,22,4,5
1534,World,1919,111,21,7,6
1535,World,1920,108,24,10,7
1536,World,1921,103,24,13,8
1537,World,1922,106,22,14,9
1538,World,1923,106,20,16,9
1539,World,1924,107,19,16,9
1540,World,1925,107,19,15,10
1541,World,1926,106,20,14,10
1542,World,1927,111,17,13,10
1543,World,1928,111,18,13,10
1544,World,1929,113,16,13,10
1545,World,1930,115,15,13,9
1546,World,1931,112,17,13,9
1547,World,1932,107,19,14,9
1548,World,1933,109,21,11,9
1549,World,1934,114,19,9,9
1550,World,1935,119,15,9,9
1551,World,1936,118,16,9,9
1552,World,1937,118,17,8,9
1553,World,1938,116,19,8,9
1554,World,1939,116,17,8,9
1555,World,1940,117,18,6,6
1556,World,1941,118,18,6,6
1557,World,1942,118,17,6,6
1558,World,1943,119,17,5,6
1559,World,1944,120,16,4,7
1560,World,1945,116,20,5,7
1561,World,1946,111,21,5,12
1562,World,1947,102,29,6,13
1563,World,1948,107,26,8,13
1564,World,1949,109,24,8,15
1565,World,1950,105,24,10,15
1566,World,1951,107,24,10,15
1567,World,1952,105,24,11,16
1568,World,1953,105,24,11,16
1569,World,1954,105,24,11,16
1570,World,1955,100,27,12,16
1571,World,1956,96,31,12,17
1572,World,1957,90,37,12,17
1573,World,1958,88,40,11,17
1574,World,1959,89,38,12,17
1575,World,1960,80,45,13,17
1576,World,1961,79,47,13,17
1577,World,1962,79,46,14,17
1578,World,1963,74,50,15,17
1579,World,1964,77,46,16,17
1580,World,1965,78,45,16,17
1581,World,1966,80,43,15,18
1582,World,1967,80,42,16,18
1583,World,1968,78,42,17,18
1584,World,1969,81,40,16,19
1585,World,1970,82,38,16,20
1586,World,1971,84,38,15,20
1587,World,1972,84,36,15,20
1588,World,1973,84,36,15,20
1589,World,1974,83,38,16,20
1590,World,1975,81,39,16,20
1591,World,1976,83,35,15,22
1592,World,1977,83,35,14,23
1593,World,1978,85,32,15,23
1594,World,1979,80,38,16,23
1595,World,1980,77,38,18,23
1596,World,1981,78,38,17,23
1597,World,1982,80,35,18,23
1598,World,1983,78,37,16,24
1599,World,1984,77,36,18,24
1600,World,1985,74,40,17,26
1601,World,1986,70,43,18,26
1602,World,1987,72,41,18,26
1603,World,1988,69,40,22,26
1604,World,1989,66,44,21,27
1605,World,1990,63,46,33,29
1606,World,1991,58,48,35,31
1607,World,1992,54,50,39,31
1608,World,1993,50,49,42,33
